,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"244,134","226,745","25,943","518,707","1,183","2,336",235,"3,858","245,317","229,081","26,178","522,565"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool,  September 2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USCIS International Field Office Location by Country,,,Applications by Category and Case Status,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,,,,,,,,
,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,99,101, -   ,70,,,,,,,,
,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,
,,,,,,,,,,,,,,
,Beijing,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
,Guangzhou,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Havana,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Santo Domingo,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,San Salvador,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Frankfurt,,37,25, -   ,26,,,,,,,,
,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Accra,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Athens,,1,5, -   ,2,,,,,,,,
,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Guatemala City,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Port-au-Prince,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,New Delhi,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Rome,,11,8, -   ,4,,,,,,,,
,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Amman,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nairobi,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Ciudad Juarez,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
,Mexico City,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
,Monterrey,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Lima,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Manila,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Moscow,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Johannesburg,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Seoul,,43,55, -   ,38,,,,,,,,
,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Bangkok,, -   , -   , -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,London,,7,8, -   , -   ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1  ""Naturalization (Military)"" refers to applicants whose eligibility relies on service in the U.S. armed forces. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    Note:  International USCIS field offices only process N-400s from applicants whose elibility  relies on ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 service in the U.S. armed forces. All N-400s processed at international offices must be filed with the ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Nebraska Service Center, which then transfers them to the appropriate international office.   ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2  The number of new applications transferred from the Nebraska Service Center to an international office ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
   and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    office’s jurisdiction. Please refer to USCIS.gov/international for international office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
                reporting periods. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Sources:   Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, September 2016",,,,,,,,,,,,,,
