,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 
,,,,,,,,,,,,,,
 Total ,,,"218,248","174,984","22,599","747,383",661,420,76,"5,969","218,909","175,404","22,675","753,352"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,, N/A , N/A , N/A , N/A ,43,36, D ,58,43,36, D ,58
,,,,,,,,,,,,,,
International Field Office by Country,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
China,,, , , , ,,,,,,,,
,,,,,,,,,,,,,,
,Beijing,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
,Guangzhou,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Havana,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Santo Domingo,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,San Salvador,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Frankfurt,, N/A , N/A , N/A , N/A ,10,D, D ,20,10, D , D ,20
,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Accra,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Athens,, N/A , N/A , N/A , N/A ,D,D, -   ,D, D , D , -   , D 
,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Guatemala City,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Port-au-Prince,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,New Delhi,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Rome,, N/A , N/A , N/A , N/A ,D, D , -   ,D, D , D , -   , D 
,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Amman,, N/A , N/A , N/A , N/A ,,,,, -   , -   , -   , -   
,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
