,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,," 189,410 "," 174,109 "," 21,957 "," 727,740 ", 648 ," 1,141 ", 227 ," 4,093 "," 190,058 "," 175,250 "," 22,184 "," 731,833 "
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
, Santo Domingo ,, N/A , N/A , N/A , N/A , D , - , - , D , D , - , - , D 
El Salvador,,,,,,,,,,,,,,
, San Salvador ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Germany,,,,,,,,,,,,,,
, Frankfurt ,, N/A , N/A , N/A , N/A , 43 , 19 , - , 53 , 43 , 19 , - , 53 
Ghana,,,,,,,,,,,,,,
, Accra ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Greece,,,,,,,,,,,,,,
, Athens ,, N/A , N/A , N/A , N/A , D , D , - , D , D , D , - , D 
Guatemala,,,,,,,,,,,,,,
, Guatemala City ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Haiti,,,,,,,,,,,,,,
, Port-au-Prince ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
India,,,,,,,,,,,,,,
, New Delhi ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Italy,,,,,,,,,,,,,,
, Rome ,, N/A , N/A , N/A , N/A , 16 , 14 , - , 18 , 16 , 14 , - , 18 
Jordan,,,,,,,,,,,,,,
, Amman ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Kenya,,,,,,,,,,,,,,
, Nairobi ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Mexico,,,,,,,,,,,,,,
, Ciudad Juarez ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
, Mexico City ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
, Monterrey ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Peru,,,,,,,,,,,,,,
, Lima ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
Philippines,,,,,,,,,,,,,,
, Manila ,, N/A , N/A , N/A , N/A , - , - , - , D , - , - , - , D 
Russia,,,,,,,,,,,,,,
, Moscow ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
South Africa,,,,,,,,,,,,,,
, Johannesburg ,, N/A , N/A , N/A , N/A , - , - , - , - , - , - , - , - 
South Korea,,,,,,,,,,,,,,
, Seoul ,, N/A , N/A , N/A , N/A , 88 , 85 , - , 31 , 88 , 85 , - , 31 
Thailand,,,,,,,,,,,,,,
, Bangkok ,, N/A , N/A , N/A , N/A , - , - , - , D , - , - , - , D 
United Kingdom,,,,,,,,,,,,,,
, London ,, N/A , N/A , N/A , N/A , D , D , - , D , D , D , - , D 
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,
"1  ""Naturalization (Military)"" refers to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization."" International USCIS field offices only accept N-400s from applicants whose eligibility relies on service in the U.S. armed forces. Total includes both general and military naturalization. ",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,
"1) Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), Performance Reporting Tool (PRT), queried January 2019.",,,,,,,,,,,,,,
"2) Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS), CAMINO, queried January 2019.",,,,,,,,,,,,,,
