,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,
 Total ,,," 215,307 "," 209,972 "," 25,632 "," 733,974 ", 798 ," 1,557 ", 214 ," 4,174 "," 216,105 "," 211,529 "," 25,846 "," 738,148 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,,
,Accra,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Greece,,,,,,,,,,,,,,,
,Athens,, N/A , N/A , N/A , N/A , D , 12 , -   , 10 , D , 12 , -   , 10 ,
Guatemala,,,,,,,,,,,,,,,
,Guatemala City,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Haiti,,,,,,,,,,,,,,,
,Port-au-Prince,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
India,,,,,,,,,,,,,,,
,New Delhi,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Italy,,,,,,,,,,,,,,,
,Rome,, N/A , N/A , N/A , N/A , 14 , D , -   , 16 , 14 , D , -   , 16 ,
Jordan,,,,,,,,,,,,,,,
,Amman,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Kenya,,,,,,,,,,,,,,,
,Nairobi,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Mexico,,,,,,,,,,,,,,,
,Ciudad Juarez,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
,Mexico City,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
,Monterrey,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Peru,,,,,,,,,,,,,,,
,Lima,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Philippines,,,,,,,,,,,,,,,
,Manila,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
Russia,,,,,,,,,,,,,,,
,Moscow,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
South Africa,,,,,,,,,,,,,,,
,Johannesburg,, N/A , N/A , N/A , N/A , -   , -   , -   , -   , -   , -   , -   , -   ,
South Korea,,,,,,,,,,,,,,,
,Seoul,, N/A , N/A , N/A , N/A , 81 , 43 , -   , 78 , 81 , 43 , -   , 78 ,
Thailand,,,,,,,,,,,,,,,
,Bangkok,, N/A , N/A , N/A , N/A , -   , D , -   , -   , -   , D , -   , -   ,
United Kingdom,,,,,,,,,,,,,,,
,London,, N/A , N/A , N/A , N/A , D , D , -   , D , D , D , -   , D ,
,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,
"1  ""Naturalization (Military)"" refers to applicants whose eligibility relies on service in the U.S. armed forces. All other N-400 naturalizations are included in ""Naturalization."" International USCIS field offices ",,,,,,,,,,,,,,,
 only accept N-400s from applicants whose eligibility relies on service in the U.S. armed forces. Total includes both general and military naturalization. ,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT),  October 2018; Department of Homeland Security, U.S. Citizenship and Immigration Services, ",,,,,,,,,,,,,,,
"CAMINO, October 2018.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
